PC1,Prize,Memory,RAM,Battery_,Is_Outlier,Model_Group_Encoded
0.0,,,,,,
0.0,,,,,,
-20651597.173640173,11999.0,128.0,8.0,5000.0,0.0,5.0
-20652255.173640173,5649.0,32.0,2.0,5000.0,0.0,10.0
0.0,,,,,,
0.0,,,,,,
0.0,,,,,,
0.0,,,,,,
0.0,,,,,,
0.0,,,,,,
-20651597.173640173,9499.0,64.0,4.0,6000.0,0.0,11.0
0.0,,,,,,
0.0,,,,,,
-20651427.173640173,10699.0,128.0,4.0,6000.0,0.0,12.0
-20652242.173640173,7299.0,64.0,4.0,5000.0,0.0,12.0
-20652241.173640173,6999.0,64.0,4.0,5000.0,0.0,10.0
0.0,,,,,,
-20652241.173640173,6999.0,64.0,4.0,5000.0,0.0,10.0
-20652255.173640173,5649.0,32.0,2.0,5000.0,0.0,10.0
-20651671.173640173,7299.0,64.0,4.0,5000.0,0.0,5.0
-20646257.173640173,15999.0,128.0,8.0,5000.0,0.0,17.0
-20646257.173640173,15999.0,128.0,8.0,5000.0,0.0,17.0
-20646257.173640173,15999.0,128.0,8.0,5000.0,0.0,17.0
-20646257.173640173,13999.0,128.0,6.0,5000.0,0.0,17.0
-20646257.173640173,12999.0,128.0,4.0,5000.0,0.0,17.0
-20646257.173640173,13999.0,128.0,6.0,5000.0,0.0,17.0
-20646257.173640173,12999.0,128.0,4.0,5000.0,0.0,17.0
-20646257.173640173,13999.0,128.0,6.0,5000.0,0.0,17.0
0.0,,,,,,
-20652255.173640173,6599.0,32.0,3.0,5000.0,0.0,11.0
-20652255.173640173,6599.0,32.0,3.0,5000.0,0.0,11.0
-20652192.173640173,7749.0,64.0,4.0,5000.0,0.0,10.0
-20652255.173640173,6599.0,32.0,3.0,5000.0,0.0,11.0
-20652192.173640173,7749.0,64.0,4.0,5000.0,0.0,10.0
-20652192.173640173,7749.0,64.0,4.0,5000.0,0.0,10.0
-20652192.173640173,8999.0,128.0,6.0,5000.0,0.0,10.0
-20651427.173640173,9699.0,64.0,4.0,6000.0,0.0,12.0
-20651427.173640173,10699.0,128.0,4.0,6000.0,0.0,12.0
-20652192.173640173,9999.0,128.0,4.0,5000.0,0.0,5.0
-20651577.173640173,11999.0,64.0,4.0,5000.0,0.0,10.0
-20652240.173640173,7999.0,64.0,4.0,5000.0,0.0,5.0
-20651597.173640173,10999.0,128.0,6.0,6000.0,0.0,11.0
-20652242.173640173,7299.0,64.0,4.0,5000.0,0.0,12.0
-20651597.173640173,11999.0,128.0,8.0,5000.0,0.0,5.0
-20651597.173640173,9499.0,64.0,4.0,6000.0,0.0,11.0
-20651427.173640173,10699.0,128.0,4.0,6000.0,0.0,12.0
